number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_grow_policy,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,params_tree_method,state
45,0.733082722262308,2026-04-16 13:55:24.393768,2026-04-16 13:55:24.627519,0 days 00:00:00.233751,0.8146875776246572,3.2738600303584007,depthwise,0.14625225873248374,1,4.621527905677055,800,0.01289116704847875,2.011317623277647,0.8901214293875113,hist,COMPLETE
46,0.6998434195961034,2026-04-16 13:55:24.627636,2026-04-16 13:55:24.916535,0 days 00:00:00.288899,0.718241220609738,5.017555368231115,depthwise,0.06638029305717287,3,2.314658181479664,925,0.4131402117945608,0.5654787870011221,0.8579236285589108,hist,COMPLETE
47,0.6994917099711845,2026-04-16 13:55:24.916657,2026-04-16 13:55:24.991800,0 days 00:00:00.075143,0.8523021263434944,5.663112548274899,depthwise,0.04398004272066894,6,2.766122005493508,150,0.016602521401728906,0.0025530317220089516,0.7285983364105671,hist,COMPLETE
48,0.7293230002451935,2026-04-16 13:55:24.991919,2026-04-16 13:55:25.076122,0 days 00:00:00.084203,0.7169675428170383,3.2182890190925804,depthwise,0.06372652604737475,1,3.80387652583648,225,0.7206212764149232,0.28555505921982616,0.71626975612838,hist,COMPLETE
49,0.6094258049172308,2026-04-16 13:55:25.076260,2026-04-16 13:55:25.301598,0 days 00:00:00.225338,0.7167001433397338,5.841745732151576,depthwise,0.19215322885133299,4,4.25119826903001,775,2.6819165246349654,0.4164734310735816,0.7752519171061831,hist,COMPLETE
50,0.7571899167524395,2026-04-16 13:55:25.301720,2026-04-16 13:55:25.871783,0 days 00:00:00.570063,0.8979754754198984,4.69683927204421,depthwise,0.09942007053291473,2,1.849545146840239,1800,0.10272319894436828,0.0037500612880441535,0.790143051180121,hist,COMPLETE
51,0.7510050855752881,2026-04-16 13:55:25.871935,2026-04-16 13:55:26.441553,0 days 00:00:00.569618,0.8975267194187726,3.0638172793313854,depthwise,0.09738399862892536,2,1.8266181299337654,1825,0.030479084414630337,0.0036525869567332198,0.7917585961995547,hist,COMPLETE
52,0.7430915393243229,2026-04-16 13:55:26.441719,2026-04-16 13:55:27.010690,0 days 00:00:00.568971,0.8983585802975546,3.0887131337139477,depthwise,0.09214043388822016,2,1.8920845981043397,1825,0.030177475486644467,0.004541093117959737,0.7900822975020843,hist,COMPLETE
53,0.7448866824454652,2026-04-16 13:55:27.010850,2026-04-16 13:55:27.571707,0 days 00:00:00.560857,0.8998784574823695,3.0117178487153913,depthwise,0.10184143293355713,2,1.7997612289475198,1750,0.11695791419218973,0.032024924524537896,0.7472801509876508,hist,COMPLETE
54,0.7595450882775758,2026-04-16 13:55:27.571876,2026-04-16 13:55:28.157380,0 days 00:00:00.585504,0.893431025881104,4.731006922443007,depthwise,0.05687067082538924,1,2.010317005070095,1875,0.03307689249265736,0.0037572342403673076,0.7865242801758897,hist,COMPLETE
